x y
20.768890274364015 63.791990710660954
19.45817979567789 64.2792815942757
19.96674284390533 64.63952657254735
19.732508565389892 65.12925888884503
21.08099054117897 66.15231099014738
22.697009658147337 66.3505366091251
23.997832631708818 66.29925528278129
24.380967119309922 65.79313001053198
23.351841908385932 65.73304200417373
22.602530793864442 65.77047725119375
21.868247562537693 65.25105215639121
21.306515528654238 64.84831705351763
21.68738299745547 64.45123418116718
21.06657308280179 64.12948486632528
20.768890274364015 63.791990710660954
