x y
23.236534687662978 59.890366036176445
26.09197825413106 60.39483709643152
27.60863992140235 60.49790859162229
28.543141541642573 60.70660056178162
29.008164166885724 60.21303926825059
29.98986305877318 60.1217035461346
30.135145347963924 59.85969635556377
29.088871206028855 59.972120578942786
28.444848665092156 59.827912561498515
27.998173661865593 59.41623199680013
26.829600645195963 59.4575847662241
25.922272425461866 59.606606177333504
23.456636626340693 59.22655111854442
23.236534687662978 59.890366036176445
