x y
12.051682565976078 57.4974587381376
12.562792163784158 57.50558719563393
13.608417746641644 56.693640624758956
13.60474317251953 56.42839314232547
14.662193688464265 56.45129662494293
14.710973180748226 56.15782894399826
14.20007535957174 55.85479844261789
14.211589161661568 55.68427627212331
14.358225164474343 55.55210484090116
14.177932635937053 55.38699725129874
13.817873430226498 55.430941936156636
13.580186001013889 55.41180544749726
13.362706750445048 55.33780788331677
12.96890804084305 55.405506077571914
12.931953780293297 55.53768808299762
13.073147203885748 55.66350596195028
12.961704585259929 55.77779699213426
12.722240047298198 56.04111906299456
12.560176254524494 56.210063234130835
12.852635018012725 56.22857399708937
12.685700438838381 56.39790026002423
12.930138893465221 56.46221049380389
12.904913337229123 56.65135224705486
12.747696294489517 56.65516101580265
12.602982973499563 56.83131979103197
12.36482503879752 56.93307028427653
12.051682565976078 57.4974587381376
