x y
-37.588078501123675 64.4072782410482
49.53294013541351 70.15362831970423
39.50751363660346 68.8891418641316
27.828806796838368 71.358869906989
14.684194667526874 69.28188458328702
3.9618786348645956 61.93692525354689
7.772842309093793 54.50295076315494
2.4379822724223854 52.345920949224684
-2.706940431606852 59.182958886237465
-8.08458569405198 58.56976879752698
-7.584927241869673 56.30512541094827
-12.139679651740597 52.769389826104856
-9.558997209321207 51.12336532679202
-6.67197085338673 51.630114839414446
-5.1659632910833855 51.14734450126191
-6.673613519159651 50.055166541588626
-2.8109378317549587 50.02794072918253
-5.909584397886329 48.12395763436138
-2.1542871672891404 46.025181327765054
-2.399383230766274 43.79949088997606
-8.372336538434197 44.26868615340817
-9.720399833961743 42.98717061311217
-9.676919934856288 37.371294091254434
-6.308158263743367 35.887442075005104
-8.90805538347419 33.62231917227383
-36.13832302576322 63.515706332483035
-26.149044106712726 65.00976282449601
-21.27074323337132 62.91786380139401
-11.868203657692492 64.94350146616543
-15.846838405804066 67.10579165962444
-24.122558303483533 66.82257497562588
-26.06853985207209 65.1764331285682
-35.52117385978708 63.754425035479514
-37.588078501123675 64.4072782410482
